
Cell Track Speed Variation
 ==================== 
Cell Track Speed Variation,Unit,Category,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
0.887070,,CellTrack,1000006099,1000006099,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
1.020578,,CellTrack,1000006268,1000006268,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
0.838980,,CellTrack,1000006342,1000006342,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
0.677027,,CellTrack,1000006459,1000006459,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
1.047946,,CellTrack,1000006520,1000006520,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
0.868482,,CellTrack,1000006589,1000000000,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
0.768415,,CellTrack,1000006762,1000000173,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
0.700488,,CellTrack,1000006845,1000000256,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
0.751534,,CellTrack,1000006949,1000000360,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
0.864558,,CellTrack,1000007033,1000000444,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
