
Cell Track Speed Mean
 ==================== 
Cell Track Speed Mean,Unit,Category,ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
11.345614,um/s,CellTrack,1000005793,1000005793,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
10.641359,um/s,CellTrack,1000005940,1000005940,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
10.481814,um/s,CellTrack,1000006019,1000006019,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
10.379764,um/s,CellTrack,1000006099,1000006099,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
10.493454,um/s,CellTrack,1000006268,1000006268,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
12.115799,um/s,CellTrack,1000006342,1000006342,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
13.770864,um/s,CellTrack,1000006459,1000006459,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
10.023753,um/s,CellTrack,1000006520,1000006520,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s1.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s1.ome.ims,
13.205756,um/s,CellTrack,1000006589,1000000000,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
12.157482,um/s,CellTrack,1000006762,1000000173,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
15.043152,um/s,CellTrack,1000006845,1000000256,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
13.206155,um/s,CellTrack,1000006949,1000000360,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
8.364812,um/s,CellTrack,1000007033,1000000444,Cells Unnamed 1 H200911_HEYA8_175_261.icsx_[ibrx_2020-10-22T18-17-19.123],400001,H200911_s2.ome,D:\Users\Samuel_T\H200911\FIJI_Stacked_output\HEYA8_2\H200911_s2.ome.ims,
